tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count,user_location
1458584467187159046,"Day 10 of #30DayMapChallenge 

Did you know you can make fantastic raster texture fills in #QGIS? Today we look at the John Compton Dam in St Lucia. The dam water and surrounding forested areas are painted using this technique which gives them variable colour. https://t.co/O1KZovxLl7",38512725,2021-11-10 23:56:50+00:00,en,6,1,57,0,Twitter Web App,3_1458584120578252800,https://pbs.twimg.com/media/FD3uh54XoAAaNNa.jpg,photo, ,Tim Sutton,timlinux,False,6428,758,"Portalegre, Portugal"
1458583829099298818,"Day 10 (Raster) #30DayMapChallenge is a great way for us to learn new tools. Today shows a compact code reading, clipping and visualizing the CORINE landcover raster data for the Netherlands in Python by @bokanyie.

Code: https://t.co/RpynOEicUj https://t.co/aOoWU1jT2y",1389560172398448644,2021-11-10 23:54:18+00:00,en,1,1,2,1,Twitter Web App,3_1458583496524541957,https://pbs.twimg.com/media/FD3t9lGXsAURVrm.jpg,photo, ,Population-scale Network Analysis,popnet_research,False,198,169,"Amsterdam, The Netherlands"
1458580662403878915,"Day 10 #30DayMapChallenge - Raster. 

Perfect opportunity to explore #RStats raster library. Used altitude data from STRM to create a map of Nepal (home of the tallest mountains). 🗻

Code 🔗: https://t.co/9nxzmLDytN https://t.co/GiRZV3VdB7",379406678,2021-11-10 23:41:43+00:00,en,16,1,35,3,Twitter Web App,3_1458568261273112576,https://pbs.twimg.com/media/FD3gGxXX0AAsKgK.jpg,photo, ,Tanya Shapiro,tanya_shapiro,False,410,307,"St Petersburg, FL"
1458580228394020865,"💯 reproducible. Thanks to the awesome work of📦 developers (including {stplnr}😀)

Mini-vignette here: https://t.co/twjYSbwxnQ
Includes a bonus of Car flows patterns for day 6: Red #30DayMapChallenge https://t.co/HwvVi2MLJK https://t.co/ltIp9DELHo",25611208,2021-11-10 23:40:00+00:00,en,3,1,20,2,Twitter Web App,3_1458579310768492547,https://pbs.twimg.com/media/FD3qJ78XEAMdhrk.jpg,photo, ,Nicolas Palominos,npalomin,False,398,652,"Camden Town, London"
1458580158244397061,"#30DayMapChallenge Day 11 - 3D.
A view of Bogatynia, a town in south-western Poland, which is located on the edge of the Turów Coal Mine.
Tool: R + packages rayshader/rayvista. #Rstats https://t.co/dl7SnM2QGn",2593554955,2021-11-10 23:39:43+00:00,en,5,0,18,1,TweetDeck,3_1458580001092214789,https://pbs.twimg.com/media/FD3qyHmXIAUEJgf.jpg,photo, ,Kapazitätsdiode,varaktor,False,62,197, 
1458580098035195907,"#30DayMapChallenge Day 10 - #Raster Santa Margherita Ligure, Italy https://t.co/0EmCTm1LIO",1455128904889417733,2021-11-10 23:39:29+00:00,it,0,0,0,0,Twitter Web App,3_1458580089843732483,https://pbs.twimg.com/media/FD3q3SOX0AMl828.png,photo, ,giuze,giuze01,False,0,21, 
1458579394985926662,"Evening tweet for #30DayMapchallenge thanks to my very slow laptop 
Day 10: R A S T E R 🖼
Hillshade map of Barbados 🇧🇧

https://t.co/itKc7to1NE https://t.co/cEkQaOf1vc",32127911,2021-11-10 23:36:41+00:00,en,2,1,12,0,Twitter Web App,3_1458579209421471751,https://pbs.twimg.com/media/FD3qECZWQAcyHB7.jpg,photo, ,Z,Zaaaana_,False,408,349,TT
1458577978590470152,While I don't have time for #30daymapchallenge I am trying to get up to speed in Arc Pro by making this just-for-fun map of Sierra summits. #gischat https://t.co/FyEbSBnr2n,365608246,2021-11-10 23:31:03+00:00,en,2,0,10,0,Twitter Web App,3_1458576716813713411,https://pbs.twimg.com/media/FD3ny8tWQAMxXL0.jpg,photo, ,Brian Moran,BCMcartography,False,94,423,San Francisco Bay Area
1458576586006011911,"#30DayMapChallenge 2021
Day 10: Raster - Adirondack High Peaks

My first attempt at using SRTM Elevation Data in @QGIS. A blend of rasters: hillshade, texture shading, DEM, and Google satellite imagery. It’s been years since I’ve hiked in the ADK but I need to go back soon. https://t.co/p1TcnwFEeo",333524694,2021-11-10 23:25:31+00:00,en,3,1,25,0,Twitter Web App,3_1458576429130690565,https://pbs.twimg.com/media/FD3niNAXsAUrrLE.jpg,photo, ,Christopher Pollard,CRVanPollard,False,1236,1210,"Philadelphia,PA"
1458574369668702215,"Lima, valle del río Chancay. 1986 - 2021. En rojo mostramos la desaparición de zonas agrícolas en los últimos 35 años. Información Landsat -ETM-OLI Surface Reflectance, gracias al aplicativo de Qiusheng Wu.

#30DayMapChallenge #Peru #Lima #streamlit #qGIS #Affinity @giswqs https://t.co/d4I75Nk6TB",64875424,2021-11-10 23:16:43+00:00,es,32,3,48,2,Twitter for Mac,3_1458574283190460421,https://pbs.twimg.com/media/FD3llSwWYAUTxTS.jpg,photo, ,jose barreda,barredajose,False,152,92,Perú
