tweet_id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,source,media_key,media_url,media_type,media_view,user_name,user_username,user_verified,user_followers_count,user_following_count
1456771632274370563,"Late Day 4 #30DayMapChallenge: hexes. Median conditional flame length (wildfire intensity if one occurs, published by #USFS) extracted to a hex grid, plotted in #ggplot2, and rendered by #rayshader. All done in #Rstats. This does NOT represent an official OSFM analysis! https://t.co/6GKjqG97QU",35611566,2021-11-05 23:53:17+00:00,en,2,1,19,0,Twitter Web App,7_1456771401440903168,https://pbs.twimg.com/ext_tw_video_thumb/1456771401440903168/pu/img/EoPqe-voeWE5B_Xp.jpg,video, ,Ian Morelan,ianmorelan,False,84,86
1456770991871385609,Directly gone to day 4 for hexagons #30DayMapChallenge with beehives count in France. Repo and data at https://t.co/1HxwCIGcVy https://t.co/YaXZAzlyus,82467442,2021-11-05 23:50:44+00:00,en,5,0,23,0,Twitter Web App,3_1456768815438745608,https://pbs.twimg.com/media/FDd7hPQX0AgIoRT.jpg,photo, ,Thomas Gratier,ThomasG77,False,3134,5001
1456770722580385801,"2021 (día 5): Data Challenge 1 OpenStreetMap
Ayacucho (Perú). Con la información del proyecto OSM elaboramos este plano del centro histórico de la ciudad de Huamanga

#30DayMapChallenge #Peru #Ayacucho #OSM #qGIS #AffinityPhoto #AffinityDesigner https://t.co/BTDaBESa1S",64875424,2021-11-05 23:49:40+00:00,es,1,0,6,0,Twitter for Mac,3_1456770680213671944,https://pbs.twimg.com/media/FDd9NyFXEAgFJD6.jpg,photo, ,jose barreda,barredajose,False,141,90
1456770575943155716,OK...a little more fun with this one. Took 8 hours to process the points into the hexagons. Must be a faster way? Probably could spend more time on the cut points. #30DayMapChallenge #hexagons take 2 https://t.co/hTDl8AqVPw,1513661708,2021-11-05 23:49:05+00:00,en,1,1,8,0,Twitter Web App,3_1456769793843871746,https://pbs.twimg.com/media/FDd8aMGVQAI6uI1.jpg,photo, ,Andy Rutkowski,andy_rutkowski,False,598,1514
1456770546998337538,"#30DayMapChallenge Day 5 - OpenStreetMap
A little bit late but still on time :)
Lisbon in a ""coffee"" palette maybe?
Buildings, roads and water, all from @openstreetmap 
Elevation (hillshade) from SRTM
#QGIS #OSM https://t.co/Ej65gfFbS1",180939408,2021-11-05 23:48:58+00:00,en,2,0,12,1,Twitter Web App,3_1456770363845664773,https://pbs.twimg.com/media/FDd87XhWYAUiXeZ.jpg,photo, ,torts,tgsousa_,False,1011,1149
1456768323333595137,"Call me lazy, but I turned #30DayMapChallenge Day 5 into the challenge for our #Devtoberfest participants (mostly new to spatial data) -- to find a simple (for experienced folks) answer using @SAP HQ geospatial data from #OpenStreetMap: https://t.co/gHisNJaTiW

🤓🌍🌏🌎 https://t.co/Vetjaapzgv",138823701,2021-11-05 23:40:08+00:00,en,2,0,11,0,Twitter Web App,3_1456767130527993858,https://pbs.twimg.com/media/FDd5_KeWEAIjgla.jpg,photo, ,Віталій /vɪˌtælij/,Sygyzmundovych,False,3460,999
1456767747325636609,Day 5 of the #30DayMapChallenge:  OpenStreetMap Data Challenge…Analyzing @OpenStreetMap building polygons against point data for targeted impacts. #IMNOS #GeoSpatialCore https://t.co/x8XB3xdrCf,276280627,2021-11-05 23:37:51+00:00,en,3,0,8,0,Twitter Web App,3_1456767574298054657,https://pbs.twimg.com/media/FDd6Y_pX0AETEwJ.jpg,photo, ,Patrick Nelson,pnelson917,False,229,487
1456767547399983109,"#30DayMapChallenge 
Day 5 (OpenStreetMap)
#gischat https://t.co/Z8YDvJvvgK",4322029101,2021-11-05 23:37:03+00:00,en,3,0,9,0,Twitter for iPhone,3_1456767537539162112,https://pbs.twimg.com/media/FDd6W2tXoAAFtSb.jpg,photo, ,Ekanem Bassey,EkanemBassey10,False,113,199
1456767075322585088,"#30DayMapChallenge - Day 5: Data Challenge 1: OpenStreetMap

How stale are our Cycle Rack records?

When I was delving in to the data for Day 3, I noticed that quite a few records were was almost a decade old while some others have been updated within the last month! https://t.co/M7tBWIcEcd https://t.co/H0O62bM6GK",12620762,2021-11-05 23:35:10+00:00,en,1,1,5,0,Twitter for iPad,3_1456767067814825986,https://pbs.twimg.com/media/FDd57g2XEAIBlI4.jpg,photo, ,Mike Coats 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺🌍♻️,MikeCoatsDotCom,False,348,1349
1456766490913525763,"🔴Red Tarn 🔴Red Tarn Beck
Lake District, Cumbria incl Striding Edge #Arete
@OrdnanceSurvey One Inch 7th Series 1955-61 
Highest tarn in @lakedistrictnpa
3D projection in @natlibscotmaps
#Glaciation #Cirque #GlacialTarn
#30DayMapChallenge Day 6: Red
Map: https://t.co/PEEhRb4W6j https://t.co/bqEs43VmQT",2787878432,2021-11-05 23:32:51+00:00,en,2,0,10,1,Twitter for Android,7_1456766460219559944,https://pbs.twimg.com/ext_tw_video_thumb/1456766460219559944/pu/img/6rGHgyP_aU0KRQjl.jpg,video, ,BC,mildthing99,False,2572,2313
