,tweet_id,tweet_text,language,tweet_created_at,retweet,favorite,hashtags,user_id,user_name,user,user_loc,user_follower,friends_count,media,tweet_url
107,1326313486545154049,"We’d consider it more than just a passing grid if you’re able to identify which city this is! For today’s #30daymapchallenge, we are delighted to share this map created by cartographer Laura Whitlock in 1910-1912. You can read more about Laura by clicking the link in our bio! https://t.co/vhelZtUhpe",en,2020-11-10 23:59:11,1,2,"[{'text': '30daymapchallenge', 'indices': [106, 124]}]",344995607,Branner Earth Sciences Library & Map Collections,BrannerLibrary,"Stanford, CA",582,451,http://pbs.twimg.com/media/EmgDFEdU0AA6i9k.jpg,https://t.co/vhelZtUhpe
108,1326312895177777157,"#30DayMapChallenge
Day 10: Grid

Regions of Morocco

#Morocco #Grid #regions #Maps #ArcGIS #Maroc https://t.co/tKtoMpf1Pe",en,2020-11-10 23:56:50,0,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Morocco', 'indices': [53, 61]}, {'text': 'Grid', 'indices': [62, 67]}, {'text': 'regions', 'indices': [68, 76]}, {'text': 'Maps', 'indices': [77, 82]}, {'text': 'ArcGIS', 'indices': [83, 90]}, {'text': 'Maroc', 'indices': [91, 97]}]",1235881627684921344,EL JARMOUNI Mohamed,EljarmouniMed,"Casablanca, Grand Casablanca",115,465,http://pbs.twimg.com/media/EmgCcNmW4AAgjkM.jpg,https://t.co/tKtoMpf1Pe
109,1326308646083551232,"Day 10, Grid. 

The streets on Qayqayt territory (so-called ""New Westminster"") are oriented to the river. 

The original capital for the province, the streets turn up their nose at the cardinal grid. 

#30DayMapChallenge https://t.co/nSblw4gJx9",en,2020-11-10 23:39:57,2,2,"[{'text': '30DayMapChallenge', 'indices': [202, 220]}]",1142165477952614400,Russell Copley,rocopley1,,289,1158,http://pbs.twimg.com/media/Emf9sPIXMAAgHqH.jpg,https://t.co/nSblw4gJx9
112,1326298605007855617,"#30DayMapChallenge #Day10 #GRID
Land use by the vineyard in the Bordeaux region
#corinelandcover https://t.co/Q609SgM64K",en,2020-11-10 23:00:03,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Day10', 'indices': [19, 25]}, {'text': 'GRID', 'indices': [26, 31]}, {'text': 'corinelandcover', 'indices': [80, 96]}]",113671424,Di_Dyne,Di_dyne,Paris/La Rochelle 🏳️‍🌈,121,1387,http://pbs.twimg.com/media/Emf1jGSXMAEYUIT.jpg,https://t.co/Q609SgM64K
114,1326295457610522624,"It's never too late in the day for a #map!
Day 10 of #30DayMapChallenge (grid) - #flights over the Northern Baltics during one day pre-COVID vs COVID period, aggregated into hex grid. Data - OpenSky Network. Made with QGIS, Geopandas, https://t.co/vYExR245wQ https://t.co/X7hTggQfTm",en,2020-11-10 22:47:33,1,4,"[{'text': 'map', 'indices': [37, 41]}, {'text': '30DayMapChallenge', 'indices': [53, 71]}, {'text': 'flights', 'indices': [81, 89]}]",34737662,Positium,positium,"Soola 8, Tartu, Estonia",420,320,http://pbs.twimg.com/media/EmfxoVJXIAAvzA3.jpg,https://t.co/vYExR245wQ
115,1326290930664574976,"Better late than never...
Days 5 &amp; 6: Blue/Red
Census tracts with height/color symbolized by female (red)/male (blue) population rate, Billings, MT
Data: US Census ACS 2014-2018
Tools: ArcPro/QGIS/Kepler.GL
#30daymapchallenge grid https://t.co/hbHK1X5PqK",en,2020-11-10 22:29:33,1,2,"[{'text': '30daymapchallenge', 'indices': [211, 229]}]",918661859489779712,Bobbi Johnson,bobbij_gis,,1,43,http://pbs.twimg.com/media/EmfuXhgVoAAbTFg.jpg,https://t.co/hbHK1X5PqK
116,1326290538073567233,"#30DayMapChallenge Día 10: grilla. Paradas de transporte público en Santiago de Chile. 🚍

#RStats #rspatial

Código: https://t.co/x797GFlzBy https://t.co/FQoiY85e9t",es,2020-11-10 22:28:00,3,8,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'RStats', 'indices': [90, 97]}, {'text': 'rspatial', 'indices': [98, 107]}]",30381129,Steph Orellana Bello,sporella,Chile,306,191,http://pbs.twimg.com/media/Emfs9cnWMAcYXPx.jpg,https://t.co/x797GFlzBy
117,1326288467312185346,Tree areas (polygons with trees from Estonian Topographic Database) in 3 km buffers around 16x16 km grid points. Grid of the same resolution is used for forest monitoring in Europe. #30DayMapChallenge  Day 10 Grid (in green) #QGIS https://t.co/kPjwniG6hU,en,2020-11-10 22:19:46,1,5,"[{'text': '30DayMapChallenge', 'indices': [182, 200]}, {'text': 'QGIS', 'indices': [225, 230]}]",40151250,Tõnu Oja,tonuoja,,19,28,http://pbs.twimg.com/media/EmfsLQmXIAUxN45.jpg,https://t.co/kPjwniG6hU
118,1326287012257800194,"Day 10: Grid #30DayMapChallenge 
Chess anyone? Cities as pieces! 
Made in QGIS
Data from: https://t.co/SY335klwgS https://t.co/5Obvnu40qj",en,2020-11-10 22:13:59,1,3,"[{'text': '30DayMapChallenge', 'indices': [13, 31]}]",1297747856472838146,sarhoyoshoyos,sarhoyoshoyos,,1,12,http://pbs.twimg.com/media/EmfpmGkXUAEgLv5.jpg,https://t.co/SY335klwgS
119,1326286853977370624,"#30DayMapChallenge day 8 | yellow (two days late because I ran into technical difficulties)

Yellow Cab pickup locations in NYC, April 2019 vs. April 2020

Data: https://t.co/gx199eBW6l
Tool: QGIS https://t.co/2twZlYr84o",en,2020-11-10 22:13:21,1,7,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",14707170,Unnecessarily sesquipedalian 🚡,MartinBangratz,Cologne/Aachen/Innsbruck,1157,1161,http://pbs.twimg.com/media/EmfpQasW4AE1eDQ.jpg,https://t.co/gx199eBW6l
