,tweet_id,tweet_text,language,tweet_created_at,retweet_count,favorite_count,hashtags,user_id,user_name,user_screen_name,user_loc,user_follower,friends_count,media
699,1323051948485070853,"Este mes estaré participando en el #30DayMapChallenge 🗾.

Día 1 - Puntos

Algunos municipios sin casos reportados d… https://t.co/OWBldWvUKO",es,2020-11-01 23:59:00,1,9,"[{'text': '30DayMapChallenge', 'indices': [35, 53]}]",1002117891133755392,José Molano-Pulido,JoseFMolano,,259,435,[]
700,1323049303330508803,Added the Copake Memorial Clock to OSM. Local historic landmark. Surprised it wasn't on there already.… https://t.co/pWcdqeWdI6,en,2020-11-01 23:48:29,1,2,[],808007382081081344,Don Meltz AICP,Don_Meltz,"Stockport, Columbia County, NY",697,531,[]
701,1323049281566044160,"#30DayMapChallenge
って初めて知ったけど、30日間毎日、テーマに沿った地図を公開してくってものなのね。
このタグで上がってる地図がほんと良くて、ずっと眺めてられそう。いい。 https://t.co/xr4L2WwVVX",ja,2020-11-01 23:48:24,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",711103251945381888,vmconverter,vmconverter,日本 東京,380,295,[]
702,1323046291367100416,Antes de que acabe el día.  Uno de mis primeros mapas en @qgis. Con datos @Conabio #30DayMapChallenge https://t.co/KXhtzKjh2e,es,2020-11-01 23:36:31,14,61,"[{'text': '30DayMapChallenge', 'indices': [83, 101]}]",384907052,Leticia Luna,Letyludigital,México,1114,2445,"[{'id': 1323046288888262657, 'id_str': '1323046288888262657', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/ElxnlwaVcAEq9yb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElxnlwaVcAEq9yb.jpg', 'url': 'https://t.co/KXhtzKjh2e', 'display_url': 'pic.twitter.com/KXhtzKjh2e', 'expanded_url': 'https://twitter.com/Letyludigital/status/1323046291367100416/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1326, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 777, 'resize': 'fit'}, 'small': {'w': 680, 'h': 440, 'resize': 'fit'}}}]"
703,1323043516629614595,"We'll see if I stick with this #30DayMapChallenge. Here's a kitschy map of Wausau, WI. Where I got my braces done. https://t.co/QGuHH8qogZ",en,2020-11-01 23:25:29,2,15,"[{'text': '30DayMapChallenge', 'indices': [31, 49]}]",704329847896678400,Ross Thorn,RealRossThorn,Minnesota,323,482,"[{'id': 1323043340091330584, 'id_str': '1323043340091330584', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/Elxk6HSXEBg-O8d.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Elxk6HSXEBg-O8d.jpg', 'url': 'https://t.co/QGuHH8qogZ', 'display_url': 'pic.twitter.com/QGuHH8qogZ', 'expanded_url': 'https://twitter.com/RealRossThorn/status/1323043516629614595/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1609, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 534, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 943, 'h': 1200, 'resize': 'fit'}}}]"
704,1323042272146034689,"Day 1 of #30DayMapChallenge - Points

Quickly thrown together in @ArcGISPro using data from @openstreetmap (points)… https://t.co/M8uuPHtscY",en,2020-11-01 23:20:33,3,9,"[{'text': '30DayMapChallenge', 'indices': [9, 27]}]",863722747,Tim Rodaway,TimRodaway,"Newcastle Upon Tyne, England",93,283,[]
705,1323042145255698449,"#30DayMapChallenge day 1 Points
First attempt (few minutes late) : archaeological sites from Brittany (source : arc… https://t.co/QYPQzygkt8",en,2020-11-01 23:20:03,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",3641471067,Bert H,BertrandHoud,"Auvergne, France",64,258,[]
706,1323042144479793157,"Day 1 (Points) of #30DayMapChallenge 

To kick off the #30DayMapChallenge, we're bringing back this @Esri 2019 map… https://t.co/QPUqJkTfVX",en,2020-11-01 23:20:02,0,6,"[{'text': '30DayMapChallenge', 'indices': [18, 36]}, {'text': '30DayMapChallenge', 'indices': [55, 73]}]",1269335161335959552,the GIS girl,TheGISGirl,,33,145,[]
707,1323042134744858626,"#30DayMapChallenge jour 1 Points
Premier essai (quelques minutes de retard) : sites archéologiques de Bretagne (sou… https://t.co/JIKO3e6JRL",fr,2020-11-01 23:20:00,3,14,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",3641471067,Bert H,BertrandHoud,"Auvergne, France",64,258,[]
708,1323041898215473152,para #30DayMapChallenge comparto un mapa de puntos con los Eventos de Protestas ocurridos en Chile entre 1982 y 198… https://t.co/OlkpHxbs6u,es,2020-11-01 23:19:04,10,26,"[{'text': '30DayMapChallenge', 'indices': [5, 23]}]",49442134,Felipe Sánchez,FelipeSanchezB,Santiago-Puerto Montt,485,1495,[]
