,tweet_id,tweet_text,language,tweet_created_at,retweet,favorite,hashtags,user_id,user_name,user,user_loc,user_follower,friends_count,media,tweet_url
154,1325581790677884933,"#30daymapchallenge 8/30: Yellow. Another quickie from my archives, newly relevant: the city of Oakland (where VP-Elect Kamala Harris comes from) &amp; vicinity, done in Athletics green-and-gold, for a 2013 project showing all the major league baseball cities in their teams' colors https://t.co/yNkhvjoqMh",en,2020-11-08 23:31:41,1,4,"[{'text': '30daymapchallenge', 'indices': [0, 18]}]",1224107513131327488,keirtography,keirtography,"Ventura, CA",54,191,http://pbs.twimg.com/media/EmVpXDvUcAEq7Qz.jpg,https://t.co/yNkhvjoqMh
155,1325580089061371905,"#30DayMapChallenge  Yellow.
The world's 20 happiest countries. https://t.co/OcbyRe8mse",en,2020-11-08 23:24:55,1,2,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",404240734,Barbara Kent,SDGeoGirl,,112,280,http://pbs.twimg.com/media/EmVoELVUcAAYpnM.jpg,https://t.co/OcbyRe8mse
156,1325579709409792001,"#30DayMapChallenge Day 8 | Yellow
Población por paises, elaborado con Tmap. https://t.co/EDqm6ErgT8",es,2020-11-08 23:23:25,3,4,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",2439142170,Yeyo,yeyomourglia,"Corrientes, Argentina",433,857,http://pbs.twimg.com/media/EmVntppXYAEhnw5.png,https://t.co/EDqm6ErgT8
157,1325579507894415360,"#30DayMapChallenge - Hexagons. Yes I know its day 9 now lol.

Anyways I wanted to focus on Nauru. This was the first country I was deployed to, to train the Nauru Rehabilitation Centre and related stakeholders on the use of Geospatial technology using #QGIS and open data. https://t.co/c2fMDVdcry",en,2020-11-08 23:22:37,3,19,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'QGIS', 'indices': [252, 257]}]",4273148897,Carrol Chan,cmhc23,Fiji,443,387,http://pbs.twimg.com/media/EmVnGmIVcAABc5J.jpg,https://t.co/c2fMDVdcry
158,1325579338771701760,"Del #30DayMapChallenge el #10 para @SilverFighter22, quedan pendientes otros pero de pronto el mapa de A. Residuales por titulares de permisos en AMG (157) y el afluente al que van (solicitado por transparencia, 2019) rolo base si quieren. Use complemento #DataPlotly 🤠🏭🚱 https://t.co/njOwlmCkpn",es,2020-11-08 23:21:57,1,2,"[{'text': '30DayMapChallenge', 'indices': [4, 22]}, {'text': 'DataPlotly', 'indices': [256, 267]}]",283296565,Calep Pimienta,CalepPimienta,,305,879,http://pbs.twimg.com/media/EmVmafVU8AAxMsO.png,https://t.co/njOwlmCkpn
159,1325577298297417729,#30DayMapChallenge Day 8: Yellow - Lawn and Order! happened at the Four Seasons Total Landscaping in Northeast Philadelphia this weekend. The Trump campaign held a press conference here (it's next door to an adult bookshop and down the street from a city prison). https://t.co/xfu4eLHccg,en,2020-11-08 23:13:50,2,29,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",333524694,Christopher Pollard,CRVanPollard,"Philadelphia,PA",997,1206,http://pbs.twimg.com/media/EmVldHTXIAIRcWz.jpg,https://t.co/xfu4eLHccg
160,1325576237985787904,"for #30Daymapchallenge's yellow day, another quick one: Berlin's division in streetlights as seen from space by astronaut Col. Chris Hadfield in 2013 https://t.co/VBWTsQuwZX",en,2020-11-08 23:09:37,1,10,"[{'text': '30Daymapchallenge', 'indices': [4, 22]}]",14913762,vicky johnson-dahl,hurricanevicky,"Washington, DC",962,846,http://pbs.twimg.com/media/EmVkZuqXIAA-u1F.jpg,https://t.co/VBWTsQuwZX
161,1325572656268259329,"#30DayMapChallenge ~ Green &amp; Yellow

For the 7th and 8th entries, I visualised observations of whales around the world and soybean production by country
The dataset about the🐳is quite interesting, I would have liked to work more with it. I had to rush to avoid falling behind😂 https://t.co/VM2fhaGABi",en,2020-11-08 22:55:23,2,16,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",527879669,Irene de la Torre,inari_ta,Madrid / London,1278,1345,http://pbs.twimg.com/media/EmVgRkvXEAAWE28.png,https://t.co/VM2fhaGABi
162,1325572040959668229,"#Day8 : Yellow

Les infrastructures sanitaires publiques du #Benin 
#30DayMapChallenge
Données venant du Géoportail @IGNBénin https://t.co/l1ovZrhULa https://t.co/QeGJ1wB3ad",fr,2020-11-08 22:52:57,2,2,"[{'text': 'Day8', 'indices': [0, 5]}, {'text': 'Benin', 'indices': [60, 66]}, {'text': '30DayMapChallenge', 'indices': [68, 86]}]",1076222694,Lionel,lioneltodome,,56,188,http://pbs.twimg.com/media/EmVgufKXcAYUwBd.jpg,https://t.co/l1ovZrhULa
163,1325571337063116802,"#30DayMapChallenge
Day 6 : Red 🛑
Fatalities in Africa

#Africa #Fatalities #Red #Security https://t.co/ELVlPV7lVv",en,2020-11-08 22:50:09,1,3,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Africa', 'indices': [55, 62]}, {'text': 'Fatalities', 'indices': [63, 74]}, {'text': 'Red', 'indices': [75, 79]}, {'text': 'Security', 'indices': [80, 89]}]",1235881627684921344,EL JARMOUNI Mohamed,EljarmouniMed,"Casablanca, Grand Casablanca",112,465,http://pbs.twimg.com/media/EmVgGrEXIAUg-Tt.jpg,https://t.co/ELVlPV7lVv
