,tweet_id,tweet_text,language,tweet_created_at,retweet,favorite,hashtags,user_id,user_name,user,user_loc,user_follower,friends_count,media,tweet_url
55,1332831265318461445,"The #30DayMapChallenge asks for ‘a non-geographic map’ today. I have tried to create my own 🎵 preferences map, organised by genre, sub-genre, band/musician &amp; track (with a couple of crossovers). Colours of the tracks = decades. Run out of⌛️ 😞 https://t.co/4PcWpKBTVa",en,2020-11-28 23:38:31,1,2,"[{'text': '30DayMapChallenge', 'indices': [4, 22]}]",176337766,Danny Cullinane,timbertopper400,NW England,394,778,http://pbs.twimg.com/media/En8q9N6W8AAnU02.jpg,https://twitter.com/twitter/statuses/1332831265318461445
56,1332831160095936512,"#30daymapchallenge Day 28 Non-geographic map

Blood vessels w/ @qgis https://t.co/oKMM9HP6Tp",en,2020-11-28 23:38:06,1,2,"[{'text': '30daymapchallenge', 'indices': [0, 18]}]",910889225448439808,Dennis Kao,professorkao,,129,249,http://pbs.twimg.com/media/En8qsipXUAE8w-i.png,https://twitter.com/twitter/statuses/1332831160095936512
57,1332826653412757507,"#30DayMapChallenge 
Day 28: Non-geographic map

Minerals 💎 in drill core : Pyrrhotite, Galena, Calcite and Ankerite from El Hammam Mine, #Morocco 🇲🇦

Looks like Islands 😜

#Geologist #Mining #Exploration https://t.co/3tBZdT4nZ6",en,2020-11-28 23:20:11,1,6,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Morocco', 'indices': [137, 145]}, {'text': 'Geologist', 'indices': [172, 182]}, {'text': 'Mining', 'indices': [183, 190]}, {'text': 'Exploration', 'indices': [191, 203]}]",1235881627684921344,EL JARMOUNI Mohamed,EljarmouniMed,"Casablanca, Grand Casablanca",138,545,http://pbs.twimg.com/media/En8mxumWEAAiqeT.jpg,https://twitter.com/twitter/statuses/1332826653412757507
58,1332823274099781633,Stella in Mapping mode  #30DayMapChallenge Day 28  Non-geographic map in Geography curriculum 😀 https://t.co/2zpu2HDxvC,en,2020-11-28 23:06:45,1,2,"[{'text': '30DayMapChallenge', 'indices': [24, 42]}]",40151250,Tõnu Oja,tonuoja,,34,42,http://pbs.twimg.com/media/En8joG2XEAI37vI.png,https://twitter.com/twitter/statuses/1332823274099781633
59,1332821563419238400,"#30DayMapChallenge Day 28: non-geographic map

#sneakpeek of forthcoming #thematicmapping book: 101 ways to map same data

2016 presidential election as Dorling 'dials' and 'dot density'. Two ways to take a Dorling cartogram &amp; use it as the structure for additional data encoding. https://t.co/pUYHMBbNPp",en,2020-11-28 22:59:58,3,28,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'sneakpeek', 'indices': [47, 57]}, {'text': 'thematicmapping', 'indices': [73, 89]}]",20668314,Kenneth Field,kennethfield,"Redlands, CA & global",12445,104,http://pbs.twimg.com/media/En8iIE2VEAAL8B1.jpg,https://twitter.com/twitter/statuses/1332821563419238400
60,1332819747398946823,"Basic visual connections and compositional axes in park ""Sofiyivka"", Uman (Cherkasy region), Ukraine. This is part of my research.
#30DayMapChallenge Day 28: Non-geographic map
#QGIS, #OpenStreetMap, Personal research https://t.co/6gBMLbiRBX",en,2020-11-28 22:52:45,4,27,"[{'text': '30DayMapChallenge', 'indices': [131, 149]}, {'text': 'QGIS', 'indices': [177, 182]}, {'text': 'OpenStreetMap', 'indices': [184, 198]}]",14992557,gontsa,gontsa,"Cherkasy, Ukraine",4601,1420,http://pbs.twimg.com/media/En8gZHHXYAYP2rQ.jpg,https://twitter.com/twitter/statuses/1332819747398946823
61,1332818857199763459,"#30DayMapChallenge (theme: non-geo map). I turned #Colorado into #Dubstep. Every sound you hear in the below clip, except for drums, was made from a DEM of Colorado converted into sound waves. https://t.co/CoIsvJAk3P",en,2020-11-28 22:49:12,8,45,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'Colorado', 'indices': [50, 59]}, {'text': 'Dubstep', 'indices': [65, 73]}]",822048926081712128,Carl Churchill,Cchurchili,CO / Tabeguache Ute Land,1608,739,http://pbs.twimg.com/ext_tw_video_thumb/1332818501434675200/pu/img/2FzZ2GDqrZETla7y.jpg,https://twitter.com/twitter/statuses/1332818857199763459
63,1332812612795555844,"#30DayMapChallenge - Day 28 - Non-geographic map

A mind map showing #MachineLearning and #DeepLearning techniques covered in a few courses I have been taking over the past year. 

Created using #SimpleMind https://t.co/uIQQ2us0SY",en,2020-11-28 22:24:24,1,9,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}, {'text': 'MachineLearning', 'indices': [69, 85]}, {'text': 'DeepLearning', 'indices': [90, 103]}, {'text': 'SimpleMind', 'indices': [195, 206]}]",867502710131752960,Vivek Parashar,vivekparasharr,,16,24,http://pbs.twimg.com/media/En8aALvW8AQSopu.jpg,https://twitter.com/twitter/statuses/1332812612795555844
64,1332808834063028224,"Plano de el Parque San Jacinto
#30DayMapChallenge 2020
Día 28: Mapa no geográfico https://t.co/GmzYNifMTa",es,2020-11-28 22:09:23,1,3,"[{'text': '30DayMapChallenge', 'indices': [31, 49]}]",890753654822588417,Yaireth Ortiz,Yaireth_Ortiz,,13,352,http://pbs.twimg.com/media/En8WgyEUwAAgqn9.jpg,https://twitter.com/twitter/statuses/1332808834063028224
65,1332804848190894083,"#30DayMapChallenge - Day 28: Non-geographic map

UK Domestic Energy Mix - 1999 vs. 2019

Sankey Diagrams visualising the UK’s change in consumption and generation of energy between 1999 and 2019. https://t.co/5CYcSR1Ui1",en,2020-11-28 21:53:32,1,5,"[{'text': '30DayMapChallenge', 'indices': [0, 18]}]",12620762,Mike Coats,MikeCoatsDotCom,"Inverness, Scotland",303,1191,http://pbs.twimg.com/media/En8S8PFXIAQSfUr.jpg,https://twitter.com/twitter/statuses/1332804848190894083
